"target_domain","source_domain","source_url","target_url","is_active","first_seen","last_seen","seen_quarters","openpagerank_score","majestic_rank","tranco_rank","openpagerank_rank"
"coindesk.com","codastory.com","https://codastory.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.59","39969","155051","32825"
"cointelegraph.com","advertisingweek.com","https://advertisingweek.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","4","4.55","48975","166358","38732"
"coindesk.com","cato-unbound.org","https://cato-unbound.org/","https://coindesk.com/","True","2025Q2","2026Q1","4","4.55","42214","165141","38869"
"coindesk.com","acc.com","https://acc.com/","https://coindesk.com/","True","2025Q1","2026Q1","4","4.51","38677","76779","45381"
"coindesk.com","charities.org","https://charities.org/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.51","166817","417734","46572"
"coindesk.com","chrisguillebeau.com","https://chrisguillebeau.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.51","61678","222196","45221"
"cointelegraph.com","alleywatch.com","https://alleywatch.com/","https://cointelegraph.com/","True","2025Q2","2026Q1","3","4.5","73488","238472","48338"
"coindesk.com","alleywatch.com","https://alleywatch.com/","https://coindesk.com/","True","2025Q2","2026Q1","3","4.5","73488","238472","48338"
"coindesk.com","classaction.org","https://classaction.org/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.5","15596","43826","48653"
"coindesk.com","bitfury.com","https://bitfury.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.48","142704","468634","51972"
"cointelegraph.com","archyde.com","https://archyde.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.46","28082","97178","60499"
"coindesk.com","archyde.com","https://archyde.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.46","28082","97178","60499"
"cointelegraph.com","beehiiv.com","https://beehiiv.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.44","3353","7618","65573"
"coindesk.com","beehiiv.com","https://beehiiv.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.44","3353","7618","65573"
"cointelegraph.com","brandvm.com","https://brandvm.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","4","4.44","74797","233873","66855"
"coindesk.com","brandvm.com","https://brandvm.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.44","74797","233873","66855"
